t,cell_V0,cell_V1,cell_V2,cell_V3,cell_V4,m0,m1,m2,m3,m4,h0,h1,h2,h3,h4,j0,j1,j2,j3,j4,d0,d1,d2,d3,d4,f0,f1,f2,f3,f4,r0,r1,r2,r3,r4,t0,t1,t2,t3,t4,Xs0,Xs1,Xs2,Xs3,Xs4,Xr0,Xr1,Xr2,Xr3,Xr4,APtrack0,APtrack1,APtrack2,APtrack3,APtrack4,APtrack20,APtrack21,APtrack22,APtrack23,APtrack24,APtrack30,APtrack31,APtrack32,APtrack33,APtrack34,Cainfluxtrack0,Cainfluxtrack1,Cainfluxtrack2,Cainfluxtrack3,Cainfluxtrack4,OVRLDtrack0,OVRLDtrack1,OVRLDtrack2,OVRLDtrack3,OVRLDtrack4,OVRLDtrack20,OVRLDtrack21,OVRLDtrack22,OVRLDtrack23,OVRLDtrack24,OVRLDtrack30,OVRLDtrack31,OVRLDtrack32,OVRLDtrack33,OVRLDtrack34,Nai0,Nai1,Nai2,Nai3,Nai4,Cai0,Cai1,Cai2,Cai3,Cai4,Ki0,Ki1,Ki2,Ki3,Ki4,Ca_JSR0,Ca_JSR1,Ca_JSR2,Ca_JSR3,Ca_JSR4,Ca_NSR0,Ca_NSR1,Ca_NSR2,Ca_NSR3,Ca_NSR4
0,-90.7796,-90.7796,-90.7796,-90.7796,-90.7796,0.000585526,0.000585526,0.000585526,0.000585526,0.000585526,0.995866,0.995866,0.995866,0.995866,0.995866,0.997011,0.997011,0.997011,0.997011,0.997011,2.50653e-10,2.50653e-10,2.50653e-10,2.50653e-10,2.50653e-10,0.921304,0.921304,0.921304,0.921304,0.921304,1.75032e-05,1.75032e-05,1.75032e-05,1.75032e-05,1.75032e-05,0.999897,0.999897,0.999897,0.999897,0.999897,0.00885658,0.00885658,0.00885658,0.00885658,0.00885658,0.000215523,0.000215523,0.000215523,0.000215523,0.000215523,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,4.82035e-05,4.82035e-05,4.82035e-05,4.82035e-05,4.82035e-05,-0,-0,-0,-0,-0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,10,10,10,10,10,0.0002,0.0002,0.0002,0.0002,0.0002,140,140,140,140,140,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
5,34.8034,34.8032,34.8029,34.8027,34.8024,0.999875,0.999875,0.999875,0.999875,0.999875,1.38357e-07,1.38359e-07,1.38362e-07,1.38367e-07,1.38369e-07,0.510558,0.510558,0.510559,0.510559,0.51056,0.286251,0.286252,0.286254,0.286255,0.286256,0.89683,0.89683,0.89683,0.89683,0.89683,0.39267,0.392669,0.392667,0.392665,0.392664,0.837816,0.837816,0.837816,0.837816,0.837817,0.0146304,0.0146304,0.0146304,0.0146304,0.0146304,0.0105683,0.0105683,0.0105683,0.0105683,0.0105683,0.383121,0.383121,0.383121,0.383121,0.383121,0.0112762,0.0112762,0.0112762,0.0112762,0.0112762,0.0323952,0.0323952,0.0323952,0.0323952,0.0323952,5.62706e-05,5.62706e-05,5.62707e-05,5.62707e-05,5.62708e-05,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,10.0056,10.0056,10.0056,10.0056,10.0056,0.00020301,0.00020301,0.00020301,0.00020301,0.00020301,140,140,140,140,140,2.47839,2.47839,2.47839,2.47839,2.47839,2.50119,2.50119,2.50119,2.50119,2.50119
10,4.07335,4.06873,4.06409,4.05948,4.05483,0.996698,0.996696,0.996695,0.996693,0.996691,1.61744e-22,1.61878e-22,1.62016e-22,1.62157e-22,1.62295e-22,0.115953,0.115954,0.115955,0.115955,0.115956,0.794617,0.794599,0.794583,0.794566,0.79455,0.82053,0.820523,0.820516,0.820508,0.820501,0.279744,0.279676,0.279609,0.27954,0.279471,0.566694,0.566695,0.566695,0.566696,0.566697,0.025792,0.0257916,0.0257911,0.0257907,0.0257903,0.03249,0.0324892,0.0324884,0.0324875,0.0324867,0.0314485,0.0314485,0.0314485,0.0314485,0.0314485,0.173848,0.173848,0.173848,0.173848,0.173848,0.960905,0.960905,0.960905,0.960905,0.960905,0.000131396,0.000131397,0.000131398,0.000131398,0.000131399,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,10.0056,10.0056,10.0056,10.0056,10.0056,0.000579294,0.000579295,0.000579297,0.000579298,0.0005793,140,140,140,140,140,1.05396,1.05396,1.05396,1.05395,1.05395,2.50249,2.50249,2.50249,2.50249,2.50249
15,4.60156,4.5866,4.57166,4.55676,4.54183,0.996831,0.996826,0.996821,0.996816,0.996811,1.51531e-35,1.52493e-35,1.53465e-35,1.54443e-35,1.55428e-35,0.0269926,0.0269937,0.0269949,0.0269961,0.0269973,0.897517,0.89741,0.897303,0.897196,0.897089,0.719553,0.719494,0.719439,0.719384,0.71933,0.0891624,0.0890284,0.0888948,0.0887619,0.0886286,0.386425,0.386427,0.386429,0.386431,0.386434,0.0343929,0.03439,0.0343872,0.0343844,0.0343818,0.0497818,0.0497754,0.0497692,0.0497624,0.0497557,0.00258145,0.00258145,0.00258145,0.00258145,0.00258145,0.0142703,0.0142703,0.0142703,0.0142703,0.0142703,0.91404,0.91404,0.91404,0.91404,0.91404,0.000131396,0.000131397,0.000131398,0.000131398,0.000131399,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,10.0056,10.0056,10.0056,10.0056,10.0056,0.000716504,0.000716506,0.000716508,0.000716509,0.000716511,140,140,140,140,140,0.841917,0.841915,0.841912,0.841909,0.841906,2.50487,2.50487,2.50487,2.50487,2.50487
20,8.77175,8.744,8.71629,8.68855,8.6608,0.997989,0.997983,0.997977,0.997971,0.997964,1.06499e-43,1.06499e-43,1.06499e-43,1.06499e-43,1.06499e-43,0.00621107,0.00621176,0.00621242,0.0062131,0.00621378,0.951048,0.951002,0.950955,0.950907,0.950858,0.646045,0.645924,0.645806,0.645688,0.645571,0.104081,0.103771,0.103463,0.103154,0.102847,0.263681,0.263683,0.263686,0.263688,0.263691,0.043676,0.043668,0.0436601,0.0436524,0.0436448,0.0685696,0.0685529,0.0685364,0.0685194,0.0685024,0.000211898,0.000211898,0.000211898,0.000211898,0.000211898,0.00117138,0.00117138,0.00117138,0.00117138,0.00117138,0.869464,0.869464,0.869464,0.869464,0.869464,1.53913e-05,1.53914e-05,1.53914e-05,1.53915e-05,1.53916e-05,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,10.0056,10.0056,10.0056,10.0056,10.0056,0.000719118,0.000719119,0.000719119,0.000719119,0.00071912,140,140,140,140,140,0.841941,0.841939,0.841936,0.841934,0.84193,2.50725,2.50725,2.50725,2.50725,2.50725
25,11.8453,11.8074,11.7696,11.7317,11.6937,0.998557,0.998551,0.998545,0.99854,0.998534,1.02295e-43,1.02295e-43,1.02295e-43,1.02295e-43,1.02295e-43,0.00141578,0.00141604,0.00141629,0.00141654,0.0014168,0.957296,0.957476,0.957653,0.957831,0.958006,0.590444,0.590272,0.590103,0.589933,0.589764,0.158707,0.158056,0.157406,0.156758,0.15611,0.180634,0.180634,0.180634,0.180634,0.180634,0.0536547,0.0536396,0.0536249,0.0536101,0.0535954,0.0885367,0.0885089,0.0884808,0.088452,0.0884239,1.73936e-05,1.73936e-05,1.73936e-05,1.73936e-05,1.73936e-05,9.61528e-05,9.61528e-05,9.61528e-05,9.61528e-05,9.61528e-05,0.827059,0.827059,0.827059,0.827059,0.827059,1.2634e-06,1.2634e-06,1.26341e-06,1.26341e-06,1.26342e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,10.0056,10.0056,10.0056,10.0056,10.0056,0.000712496,0.000712496,0.000712496,0.000712496,0.000712497,140,140,140,140,140,0.853536,0.853533,0.85353,0.853528,0.853525,2.50964,2.50964,2.50964,2.50964,2.50964
30,13.813,13.7667,13.7203,13.6737,13.627,0.998834,0.998828,0.998822,0.998816,0.99881,1.00893e-43,1.00893e-43,1.00893e-43,1.00893e-43,1.00893e-43,0.000321214,0.000321297,0.000321375,0.000321456,0.000321536,0.943057,0.943439,0.943809,0.944182,0.944566,0.544211,0.544002,0.543795,0.543587,0.543379,0.219904,0.218817,0.217735,0.216651,0.215567,0.124797,0.124792,0.124788,0.124783,0.124779,0.0639962,0.0639745,0.0639508,0.0639271,0.0639039,0.108856,0.108821,0.108778,0.108736,0.108701,1.42776e-06,1.42776e-06,1.42776e-06,1.42776e-06,1.42776e-06,7.8927e-06,7.8927e-06,7.8927e-06,7.8927e-06,7.8927e-06,0.786724,0.786724,0.786724,0.786724,0.786724,1.03706e-07,1.03706e-07,1.03707e-07,1.03707e-07,1.03708e-07,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,10.0056,10.0056,10.0056,10.0056,10.0056,0.000705397,0.000705398,0.000705399,0.000705399,0.0007054,140,140,140,140,140,0.865172,0.86517,0.865166,0.865164,0.865161,2.51202,2.51202,2.51202,2.51202,2.51202
35,15.1918,15.1355,15.079,15.0223,14.9655,0.998993,0.998987,0.998981,0.998975,0.998969,9.94922e-44,9.94922e-44,9.94922e-44,9.94922e-44,9.94922e-44,7.26958e-05,7.27199e-05,7.27428e-05,7.27662e-05,7.27895e-05,0.927565,0.928083,0.928607,0.929125,0.929652,0.503875,0.503637,0.503402,0.503166,0.50293,0.276699,0.275118,0.273537,0.271954,0.270373,0.0874024,0.0873919,0.0873814,0.0873711,0.0873607,0.0744985,0.0744667,0.0744315,0.0744008,0.0743694,0.129132,0.129085,0.129033,0.128983,0.128937,1.17198e-07,1.17198e-07,1.17198e-07,1.17198e-07,1.17198e-07,6.4787e-07,6.4787e-07,6.4787e-07,6.4787e-07,6.4787e-07,0.748351,0.748351,0.748351,0.748351,0.748351,8.5127e-09,8.51273e-09,8.51278e-09,8.51282e-09,8.51286e-09,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,10.0056,10.0056,10.0056,10.0056,10.0056,0.000697974,0.000697976,0.000697978,0.000697979,0.000697982,140,140,140,140,140,0.877093,0.877091,0.877087,0.877085,0.877082,2.51441,2.51441,2.51441,2.51441,2.51441
40,16.3077,16.2386,16.1694,16.0996,16.0298,0.999106,0.999099,0.999093,0.999086,0.999079,9.80909e-44,9.80909e-44,9.94922e-44,9.94922e-44,9.94922e-44,1.64253e-05,1.64321e-05,1.64386e-05,1.64452e-05,1.64518e-05,0.914352,0.915014,0.915686,0.916352,0.917025,0.467925,0.467665,0.467406,0.467144,0.466884,0.327883,0.325723,0.323562,0.321394,0.31923,0.062448,0.0624302,0.0624126,0.062395,0.0623772,0.0850669,0.0850255,0.0849742,0.0849368,0.0848961,0.14921,0.149153,0.149089,0.149025,0.148966,9.62018e-09,9.62018e-09,9.62018e-09,9.62018e-09,9.62018e-09,5.31805e-08,5.31805e-08,5.31805e-08,5.31805e-08,5.31805e-08,0.711853,0.711853,0.711853,0.711853,0.711853,6.98763e-10,6.98766e-10,6.9877e-10,6.98774e-10,6.98777e-10,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,10.0056,10.0056,10.0056,10.0056,10.0056,0.000690363,0.000690367,0.000690372,0.000690377,0.000690382,140,140,140,140,140,0.889014,0.889012,0.889008,0.889006,0.889003,2.51679,2.51679,2.51679,2.51679,2.51679
45,17.2727,17.1882,17.1034,17.0178,16.9321,0.999193,0.999186,0.999178,0.999171,0.999163,9.80909e-44,9.80909e-44,9.80909e-44,9.80909e-44,9.80909e-44,3.70671e-06,3.70855e-06,3.71034e-06,3.71215e-06,3.71397e-06,0.902947,0.903784,0.904615,0.905462,0.906302,0.435518,0.435238,0.434959,0.434676,0.434396,0.374685,0.371843,0.368999,0.366142,0.363287,0.0458672,0.0458411,0.0458149,0.0457887,0.0457623,0.0956468,0.0956053,0.095554,0.0954794,0.0954386,0.169016,0.168946,0.168871,0.168794,0.168722,7.8967e-10,7.8967e-10,7.8967e-10,7.8967e-10,7.8967e-10,4.36532e-09,4.36532e-09,4.36532e-09,4.36532e-09,4.36532e-09,0.677137,0.677137,0.677137,0.677137,0.677137,5.73581e-11,5.73582e-11,5.73584e-11,5.73587e-11,5.7359e-11,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,10.0056,10.0056,10.0056,10.0056,10.0056,0.000682505,0.000682509,0.000682514,0.000682518,0.000682524,140,140,140,140,140,0.900935,0.900932,0.900929,0.900927,0.900923,2.51917,2.51917,2.51917,2.51917,2.51917
